2021-12-16 10:47:14.179  WARN 50804 --- [HikariPool-1 housekeeper] com.zaxxer.hikari.pool.HikariPool        : HikariPool-1 - Thread starvation or clock leap detected (housekeeper delta=13h33m33s361ms539µs700ns).
	at org.springframework.context.support.AbstractApplicationContext.refresh(AbstractApplicationContext.java:551) ~[spring-context-5.2.10.RELEASE.jar:5.2.10.RELEASE]
	at org.springframework.boot.web.servlet.context.ServletWebServerApplicationContext.refresh(ServletWebServerApplicationContext.java:143) ~[spring-boot-2.3.5.RELEASE.jar:2.3.5.RELEASE]
	at org.springframework.boot.SpringApplication.refresh(SpringApplication.java:758) ~[spring-boot-2.3.5.RELEASE.jar:2.3.5.RELEASE]
	at org.springframework.boot.SpringApplication.refresh(SpringApplication.java:750) ~[spring-boot-2.3.5.RELEASE.jar:2.3.5.RELEASE]
	at org.springframework.boot.SpringApplication.refreshContext(SpringApplication.java:405) ~[spring-boot-2.3.5.RELEASE.jar:2.3.5.RELEASE]
	at org.springframework.boot.SpringApplication.run(SpringApplication.java:315) ~[spring-boot-2.3.5.RELEASE.jar:2.3.5.RELEASE]
	at org.springframework.boot.SpringApplication.run(SpringApplication.java:1237) ~[spring-boot-2.3.5.RELEASE.jar:2.3.5.RELEASE]
	at org.springframework.boot.SpringApplication.run(SpringApplication.java:1226) ~[spring-boot-2.3.5.RELEASE.jar:2.3.5.RELEASE]
	at com.cdt.blog.CdtBlogApplication.main(CdtBlogApplication.java:14) ~[classes/:na]
	at java.base/jdk.internal.reflect.NativeMethodAccessorImpl.invoke0(Native Method) ~[na:na]
	at java.base/jdk.internal.reflect.NativeMethodAccessorImpl.invoke(NativeMethodAccessorImpl.java:62) ~[na:na]
	at java.base/jdk.internal.reflect.DelegatingMethodAccessorImpl.invoke(DelegatingMethodAccessorImpl.java:43) ~[na:na]
	at java.base/java.lang.reflect.Method.invoke(Method.java:566) ~[na:na]
	at org.springframework.boot.devtools.restart.RestartLauncher.run(RestartLauncher.java:49) ~[spring-boot-devtools-2.3.5.RELEASE.jar:2.3.5.RELEASE]
Caused by: org.springframework.beans.factory.NoSuchBeanDefinitionException: No qualifying bean of type 'com.cdt.blog.generate.mapper.TBlogMapper' available: expected at least 1 bean which qualifies as autowire candidate. Dependency annotations: {@org.springframework.beans.factory.annotation.Autowired(required=true)}
	at org.springframework.beans.factory.support.DefaultListableBeanFactory.raiseNoMatchingBeanFound(DefaultListableBeanFactory.java:1717) ~[spring-beans-5.2.10.RELEASE.jar:5.2.10.RELEASE]
	at org.springframework.beans.factory.support.DefaultListableBeanFactory.doResolveDependency(DefaultListableBeanFactory.java:1273) ~[spring-beans-5.2.10.RELEASE.jar:5.2.10.RELEASE]
	at org.springframework.beans.factory.support.DefaultListableBeanFactory.resolveDependency(DefaultListableBeanFactory.java:1227) ~[spring-beans-5.2.10.RELEASE.jar:5.2.10.RELEASE]
	at org.springframework.beans.factory.annotation.AutowiredAnnotationBeanPostProcessor$AutowiredFieldElement.inject(AutowiredAnnotationBeanPostProcessor.java:640) ~[spring-beans-5.2.10.RELEASE.jar:5.2.10.RELEASE]
	... 25 common frames omitted

2021-12-16 22:15:36.389  INFO 6076 --- [restartedMain] com.cdt.blog.CdtBlogApplication          : Starting CdtBlogApplication on DESKTOP-BE3EDKT with PID 6076 (E:\Code\JAVA\CdtBlog\target\classes started by cdtswdk in E:\Code\JAVA\CdtBlog)
2021-12-16 22:15:36.394  INFO 6076 --- [restartedMain] com.cdt.blog.CdtBlogApplication          : The following profiles are active: dev
2021-12-16 22:15:36.470  INFO 6076 --- [restartedMain] .e.DevToolsPropertyDefaultsPostProcessor : Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2021-12-16 22:15:36.471  INFO 6076 --- [restartedMain] .e.DevToolsPropertyDefaultsPostProcessor : For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2021-12-16 22:15:37.762  INFO 6076 --- [restartedMain] .s.d.r.c.RepositoryConfigurationDelegate : Multiple Spring Data modules found, entering strict repository configuration mode!
2021-12-16 22:15:37.764  INFO 6076 --- [restartedMain] .s.d.r.c.RepositoryConfigurationDelegate : Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2021-12-16 22:15:37.812  INFO 6076 --- [restartedMain] .s.d.r.c.RepositoryConfigurationDelegate : Finished Spring Data repository scanning in 33ms. Found 0 Redis repository interfaces.
2021-12-16 22:15:38.714  WARN 6076 --- [restartedMain] io.undertow.websockets.jsr               : UT026010: Buffer pool was not set on WebSocketDeploymentInfo, the default pool will be used
2021-12-16 22:15:38.744  INFO 6076 --- [restartedMain] io.undertow.servlet                      : Initializing Spring embedded WebApplicationContext
2021-12-16 22:15:38.744  INFO 6076 --- [restartedMain] w.s.c.ServletWebServerApplicationContext : Root WebApplicationContext: initialization completed in 2272 ms
2021-12-16 22:15:39.268  WARN 6076 --- [restartedMain] c.b.m.core.metadata.TableInfoHelper      : Can not find table primary key in Class: "com.cdt.blog.generate.entity.TBlogTags".
2021-12-16 22:15:41.405  INFO 6076 --- [restartedMain] com.cdt.blog.config.BlogSettingConfig    : BlogSetting(title=陈东涛's Blog, desc=不求风度翩翩，但求风骨立世；没有书生意气，也要为义为仁。, covers=[https://tvax1.sinaimg.cn/mw1024/bfe05ea9ly1fxgu8jys3fj21hc0u0k0j.jpg, https://tvax1.sinaimg.cn/large/bfe05ea9ly1fxgunx09dtj21hc0u0q81.jpg, https://tvax1.sinaimg.cn/large/bfe05ea9ly1fxgv2t92yyj21hc0u0qb9.jpg], avatar=https://portrait.gitee.com/uploads/avatars/user/772/2317865_qianyucc_1589023575.png, nickname=CDTSWDK)
2021-12-16 22:15:41.424  WARN 6076 --- [restartedMain] ConfigServletWebServerApplicationContext : Exception encountered during context initialization - cancelling refresh attempt: org.springframework.beans.factory.UnsatisfiedDependencyException: Error creating bean with name 'TBlogServiceImpl': Unsatisfied dependency expressed through field 'baseMapper'; nested exception is org.springframework.beans.factory.NoSuchBeanDefinitionException: No qualifying bean of type 'com.cdt.blog.generate.mapper.TBlogMapper' available: expected at least 1 bean which qualifies as autowire candidate. Dependency annotations: {@org.springframework.beans.factory.annotation.Autowired(required=true)}
2021-12-16 22:15:41.435  INFO 6076 --- [restartedMain] ConditionEvaluationReportLoggingListener : 

Error starting ApplicationContext. To display the conditions report re-run your application with 'debug' enabled.
2021-12-16 22:15:41.503 ERROR 6076 --- [restartedMain] o.s.boot.SpringApplication               : Application run failed

org.springframework.beans.factory.UnsatisfiedDependencyException: Error creating bean with name 'TBlogServiceImpl': Unsatisfied dependency expressed through field 'baseMapper'; nested exception is org.springframework.beans.factory.NoSuchBeanDefinitionException: No qualifying bean of type 'com.cdt.blog.generate.mapper.TBlogMapper' available: expected at least 1 bean which qualifies as autowire candidate. Dependency annotations: {@org.springframework.beans.factory.annotation.Autowired(required=true)}
	at org.springframework.beans.factory.annotation.AutowiredAnnotationBeanPostProcessor$AutowiredFieldElement.inject(AutowiredAnnotationBeanPostProcessor.java:643) ~[spring-beans-5.2.10.RELEASE.jar:5.2.10.RELEASE]
	at org.springframework.beans.factory.annotation.InjectionMetadata.inject(InjectionMetadata.java:130) ~[spring-beans-5.2.10.RELEASE.jar:5.2.10.RELEASE]
	at org.springframework.beans.factory.annotation.AutowiredAnnotationBeanPostProcessor.postProcessProperties(AutowiredAnnotationBeanPostProcessor.java:399) ~[spring-beans-5.2.10.RELEASE.jar:5.2.10.RELEASE]
	at org.springframework.beans.factory.support.AbstractAutowireCapableBeanFactory.populateBean(AbstractAutowireCapableBeanFactory.java:1420) ~[spring-beans-5.2.10.RELEASE.jar:5.2.10.RELEASE]
	at org.springframework.beans.factory.support.AbstractAutowireCapableBeanFactory.doCreateBean(AbstractAutowireCapableBeanFactory.java:593) ~[spring-beans-5.2.10.RELEASE.jar:5.2.10.RELEASE]
	at org.springframework.beans.factory.support.AbstractAutowireCapableBeanFactory.createBean(AbstractAutowireCapableBeanFactory.java:516) ~[spring-beans-5.2.10.RELEASE.jar:5.2.10.RELEASE]
	at org.springframework.beans.factory.support.AbstractBeanFactory.lambda$doGetBean$0(AbstractBeanFactory.java:324) ~[spring-beans-5.2.10.RELEASE.jar:5.2.10.RELEASE]
	at org.springframework.beans.factory.support.DefaultSingletonBeanRegistry.getSingleton(DefaultSingletonBeanRegistry.java:234) ~[spring-beans-5.2.10.RELEASE.jar:5.2.10.RELEASE]
	at org.springframework.beans.factory.support.AbstractBeanFactory.doGetBean(AbstractBeanFactory.java:322) ~[spring-beans-5.2.10.RELEASE.jar:5.2.10.RELEASE]
	at org.springframework.beans.factory.support.AbstractBeanFactory.getBean(AbstractBeanFactory.java:202) ~[spring-beans-5.2.10.RELEASE.jar:5.2.10.RELEASE]
	at org.springframework.beans.factory.support.DefaultListableBeanFactory.preInstantiateSingletons(DefaultListableBeanFactory.java:897) ~[spring-beans-5.2.10.RELEASE.jar:5.2.10.RELEASE]
	at org.springframework.context.support.AbstractApplicationContext.finishBeanFactoryInitialization(AbstractApplicationContext.java:879) ~[spring-context-5.2.10.RELEASE.jar:5.2.10.RELEASE]
	at org.springframework.context.support.AbstractApplicationContext.refresh(AbstractApplicationContext.java:551) ~[spring-context-5.2.10.RELEASE.jar:5.2.10.RELEASE]
	at org.springframework.boot.web.servlet.context.ServletWebServerApplicationContext.refresh(ServletWebServerApplicationContext.java:143) ~[spring-boot-2.3.5.RELEASE.jar:2.3.5.RELEASE]
	at org.springframework.boot.SpringApplication.refresh(SpringApplication.java:758) ~[spring-boot-2.3.5.RELEASE.jar:2.3.5.RELEASE]
	at org.springframework.boot.SpringApplication.refresh(SpringApplication.java:750) ~[spring-boot-2.3.5.RELEASE.jar:2.3.5.RELEASE]
	at org.springframework.boot.SpringApplication.refreshContext(SpringApplication.java:405) ~[spring-boot-2.3.5.RELEASE.jar:2.3.5.RELEASE]
	at org.springframework.boot.SpringApplication.run(SpringApplication.java:315) ~[spring-boot-2.3.5.RELEASE.jar:2.3.5.RELEASE]
	at org.springframework.boot.SpringApplication.run(SpringApplication.java:1237) ~[spring-boot-2.3.5.RELEASE.jar:2.3.5.RELEASE]
	at org.springframework.boot.SpringApplication.run(SpringApplication.java:1226) ~[spring-boot-2.3.5.RELEASE.jar:2.3.5.RELEASE]
	at com.cdt.blog.CdtBlogApplication.main(CdtBlogApplication.java:14) ~[classes/:na]
	at java.base/jdk.internal.reflect.NativeMethodAccessorImpl.invoke0(Native Method) ~[na:na]
	at java.base/jdk.internal.reflect.NativeMethodAccessorImpl.invoke(NativeMethodAccessorImpl.java:62) ~[na:na]
	at java.base/jdk.internal.reflect.DelegatingMethodAccessorImpl.invoke(DelegatingMethodAccessorImpl.java:43) ~[na:na]
	at java.base/java.lang.reflect.Method.invoke(Method.java:566) ~[na:na]
	at org.springframework.boot.devtools.restart.RestartLauncher.run(RestartLauncher.java:49) ~[spring-boot-devtools-2.3.5.RELEASE.jar:2.3.5.RELEASE]
Caused by: org.springframework.beans.factory.NoSuchBeanDefinitionException: No qualifying bean of type 'com.cdt.blog.generate.mapper.TBlogMapper' available: expected at least 1 bean which qualifies as autowire candidate. Dependency annotations: {@org.springframework.beans.factory.annotation.Autowired(required=true)}
	at org.springframework.beans.factory.support.DefaultListableBeanFactory.raiseNoMatchingBeanFound(DefaultListableBeanFactory.java:1717) ~[spring-beans-5.2.10.RELEASE.jar:5.2.10.RELEASE]
	at org.springframework.beans.factory.support.DefaultListableBeanFactory.doResolveDependency(DefaultListableBeanFactory.java:1273) ~[spring-beans-5.2.10.RELEASE.jar:5.2.10.RELEASE]
	at org.springframework.beans.factory.support.DefaultListableBeanFactory.resolveDependency(DefaultListableBeanFactory.java:1227) ~[spring-beans-5.2.10.RELEASE.jar:5.2.10.RELEASE]
	at org.springframework.beans.factory.annotation.AutowiredAnnotationBeanPostProcessor$AutowiredFieldElement.inject(AutowiredAnnotationBeanPostProcessor.java:640) ~[spring-beans-5.2.10.RELEASE.jar:5.2.10.RELEASE]
	... 25 common frames omitted

2021-12-16 22:18:17.873  INFO 13908 --- [restartedMain] com.cdt.blog.CdtBlogApplication          : Starting CdtBlogApplication on DESKTOP-BE3EDKT with PID 13908 (E:\Code\JAVA\CdtBlog\target\classes started by cdtswdk in E:\Code\JAVA\CdtBlog)
2021-12-16 22:18:17.878  INFO 13908 --- [restartedMain] com.cdt.blog.CdtBlogApplication          : The following profiles are active: dev
2021-12-16 22:18:17.964  INFO 13908 --- [restartedMain] .e.DevToolsPropertyDefaultsPostProcessor : Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2021-12-16 22:18:17.965  INFO 13908 --- [restartedMain] .e.DevToolsPropertyDefaultsPostProcessor : For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2021-12-16 22:18:19.204  INFO 13908 --- [restartedMain] .s.d.r.c.RepositoryConfigurationDelegate : Multiple Spring Data modules found, entering strict repository configuration mode!
2021-12-16 22:18:19.206  INFO 13908 --- [restartedMain] .s.d.r.c.RepositoryConfigurationDelegate : Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2021-12-16 22:18:19.242  INFO 13908 --- [restartedMain] .s.d.r.c.RepositoryConfigurationDelegate : Finished Spring Data repository scanning in 22ms. Found 0 Redis repository interfaces.
2021-12-16 22:18:19.882  WARN 13908 --- [restartedMain] io.undertow.websockets.jsr               : UT026010: Buffer pool was not set on WebSocketDeploymentInfo, the default pool will be used
2021-12-16 22:18:19.906  INFO 13908 --- [restartedMain] io.undertow.servlet                      : Initializing Spring embedded WebApplicationContext
2021-12-16 22:18:19.907  INFO 13908 --- [restartedMain] w.s.c.ServletWebServerApplicationContext : Root WebApplicationContext: initialization completed in 1942 ms
2021-12-16 22:18:21.882  INFO 13908 --- [restartedMain] com.cdt.blog.config.BlogSettingConfig    : BlogSetting(title=陈东涛's Blog, desc=不求风度翩翩，但求风骨立世；没有书生意气，也要为义为仁。, covers=[https://tvax1.sinaimg.cn/mw1024/bfe05ea9ly1fxgu8jys3fj21hc0u0k0j.jpg, https://tvax1.sinaimg.cn/large/bfe05ea9ly1fxgunx09dtj21hc0u0q81.jpg, https://tvax1.sinaimg.cn/large/bfe05ea9ly1fxgv2t92yyj21hc0u0qb9.jpg], avatar=https://portrait.gitee.com/uploads/avatars/user/772/2317865_qianyucc_1589023575.png, nickname=CDTSWDK)
2021-12-16 22:18:22.410  INFO 13908 --- [restartedMain] o.s.s.concurrent.ThreadPoolTaskExecutor  : Initializing ExecutorService 'applicationTaskExecutor'
2021-12-16 22:18:22.442  INFO 13908 --- [restartedMain] o.s.b.d.a.OptionalLiveReloadServer       : LiveReload server is running on port 35729
2021-12-16 22:18:22.931  WARN 13908 --- [restartedMain] c.b.m.core.metadata.TableInfoHelper      : Can not find table primary key in Class: "com.cdt.blog.model.entity.BlogTags".
2021-12-16 22:18:23.073  INFO 13908 --- [restartedMain] io.undertow                              : starting server: Undertow - 2.1.4.Final
2021-12-16 22:18:23.079  INFO 13908 --- [restartedMain] org.xnio                                 : XNIO version 3.8.0.Final
2021-12-16 22:18:23.085  INFO 13908 --- [restartedMain] org.xnio.nio                             : XNIO NIO Implementation Version 3.8.0.Final
2021-12-16 22:18:23.112  INFO 13908 --- [restartedMain] org.jboss.threads                        : JBoss Threads version 3.1.0.Final
2021-12-16 22:18:23.145  INFO 13908 --- [restartedMain] o.s.b.w.e.undertow.UndertowWebServer     : Undertow started on port(s) 9001 (http) with context path '/api/v1'
2021-12-16 22:18:23.305  WARN 13908 --- [restartedMain] d.s.r.o.OperationImplicitParameterReader : Unable to interpret the implicit parameter configuration with dataType: String, dataTypeClass: class java.lang.Void
2021-12-16 22:18:23.384  WARN 13908 --- [restartedMain] d.s.r.o.OperationImplicitParameterReader : Unable to interpret the implicit parameter configuration with dataType: String, dataTypeClass: class java.lang.Void
2021-12-16 22:18:23.437  WARN 13908 --- [restartedMain] d.s.r.o.OperationImplicitParameterReader : Unable to interpret the implicit parameter configuration with dataType: String, dataTypeClass: class java.lang.Void
2021-12-16 22:18:23.469  WARN 13908 --- [restartedMain] d.s.r.o.OperationImplicitParameterReader : Unable to interpret the implicit parameter configuration with dataType: String, dataTypeClass: class java.lang.Void
2021-12-16 22:18:23.490  WARN 13908 --- [restartedMain] d.s.r.o.OperationImplicitParameterReader : Unable to interpret the implicit parameter configuration with dataType: String, dataTypeClass: class java.lang.Void
2021-12-16 22:18:23.533  WARN 13908 --- [restartedMain] d.s.r.o.OperationImplicitParameterReader : Unable to interpret the implicit parameter configuration with dataType: String, dataTypeClass: class java.lang.Void
2021-12-16 22:18:23.589  INFO 13908 --- [restartedMain] com.cdt.blog.CdtBlogApplication          : Started CdtBlogApplication in 6.46 seconds (JVM running for 9.357)
2021-12-16 22:18:33.249  INFO 13908 --- [XNIO-1 task-2] io.undertow.servlet                      : Initializing Spring DispatcherServlet 'dispatcherServlet'
2021-12-16 22:18:33.250  INFO 13908 --- [XNIO-1 task-2] o.s.web.servlet.DispatcherServlet        : Initializing Servlet 'dispatcherServlet'
2021-12-16 22:18:33.263  INFO 13908 --- [XNIO-1 task-2] o.s.web.servlet.DispatcherServlet        : Completed initialization in 12 ms
2021-12-16 22:18:33.387  INFO 13908 --- [XNIO-1 task-2] com.zaxxer.hikari.HikariDataSource       : HikariPool-1 - Starting...
2021-12-16 22:18:33.526  INFO 13908 --- [XNIO-1 task-2] com.zaxxer.hikari.HikariDataSource       : HikariPool-1 - Start completed.
2021-12-16 22:18:33.546 DEBUG 13908 --- [XNIO-1 task-2] c.cdt.blog.dao.ArticleMapper.selectMaps  : ==>  Preparing: SELECT sum(views) as total_views FROM articles 
2021-12-16 22:18:33.572 DEBUG 13908 --- [XNIO-1 task-1] c.cdt.blog.dao.ArticleMapper.selectPage  : ==>  Preparing: SELECT COUNT(1) FROM articles 
2021-12-16 22:18:33.580 DEBUG 13908 --- [XNIO-1 task-1] c.cdt.blog.dao.ArticleMapper.selectPage  : ==> Parameters: 
2021-12-16 22:18:33.581 DEBUG 13908 --- [XNIO-1 task-2] c.cdt.blog.dao.ArticleMapper.selectMaps  : ==> Parameters: 
2021-12-16 22:18:33.602 TRACE 13908 --- [XNIO-1 task-1] c.cdt.blog.dao.ArticleMapper.selectPage  : <==    Columns: COUNT(1)
2021-12-16 22:18:33.602 TRACE 13908 --- [XNIO-1 task-1] c.cdt.blog.dao.ArticleMapper.selectPage  : <==        Row: 24
2021-12-16 22:18:33.604 TRACE 13908 --- [XNIO-1 task-2] c.cdt.blog.dao.ArticleMapper.selectMaps  : <==    Columns: total_views
2021-12-16 22:18:33.604 TRACE 13908 --- [XNIO-1 task-2] c.cdt.blog.dao.ArticleMapper.selectMaps  : <==        Row: 47
2021-12-16 22:18:33.606 DEBUG 13908 --- [XNIO-1 task-2] c.cdt.blog.dao.ArticleMapper.selectMaps  : <==      Total: 1
2021-12-16 22:18:33.611 DEBUG 13908 --- [XNIO-1 task-2] c.c.blog.dao.ArticleMapper.selectCount   : ==>  Preparing: SELECT COUNT( 1 ) FROM articles 
2021-12-16 22:18:33.611 DEBUG 13908 --- [XNIO-1 task-2] c.c.blog.dao.ArticleMapper.selectCount   : ==> Parameters: 
2021-12-16 22:18:33.612 TRACE 13908 --- [XNIO-1 task-2] c.c.blog.dao.ArticleMapper.selectCount   : <==    Columns: COUNT( 1 )
2021-12-16 22:18:33.613 TRACE 13908 --- [XNIO-1 task-2] c.c.blog.dao.ArticleMapper.selectCount   : <==        Row: 24
2021-12-16 22:18:33.614 DEBUG 13908 --- [XNIO-1 task-2] c.c.blog.dao.ArticleMapper.selectCount   : <==      Total: 1
2021-12-16 22:18:33.619 DEBUG 13908 --- [XNIO-1 task-1] c.cdt.blog.dao.ArticleMapper.selectPage  : ==>  Preparing: SELECT id,author,title,tags,type,category,gmt_create,gmt_update,tabloid,views FROM articles LIMIT ?,? 
2021-12-16 22:18:33.620 DEBUG 13908 --- [XNIO-1 task-1] c.cdt.blog.dao.ArticleMapper.selectPage  : ==> Parameters: 0(Long), 5(Long)
2021-12-16 22:18:33.621 TRACE 13908 --- [XNIO-1 task-1] c.cdt.blog.dao.ArticleMapper.selectPage  : <==    Columns: id, author, title, tags, type, category, gmt_create, gmt_update, tabloid, views
2021-12-16 22:18:33.623 TRACE 13908 --- [XNIO-1 task-1] c.cdt.blog.dao.ArticleMapper.selectPage  : <==        Row: 61a9c7fc1dce70165fbc2ed8, 竹林笔墨, 快速入门SpringBoot, 集合,c++,java,高数, 1, MYSQL, 2018-12-04 22:09:17, 2021-12-10 14:23:48, 2, 9
2021-12-16 22:18:33.624 TRACE 13908 --- [XNIO-1 task-1] c.cdt.blog.dao.ArticleMapper.selectPage  : <==        Row: 61a9cf761dce36848be7f927, 竹林笔墨, 快速入门SpringBoot, java,集合, 1, MYSQL, 2022-12-04 22:09:17, 2021-12-10 12:56:52, 哈哈哈, 4
2021-12-16 22:18:33.625 TRACE 13908 --- [XNIO-1 task-1] c.cdt.blog.dao.ArticleMapper.selectPage  : <==        Row: 61a9ece31dcef546e479a9ba, 竹林笔墨, 快速入门SpringBoot, java,集合,c++, 1, JAVA, 2017-12-04 22:09:17, 2017-12-04 22:09:17, 哈哈哈, 8
2021-12-16 22:18:33.627 TRACE 13908 --- [XNIO-1 task-1] c.cdt.blog.dao.ArticleMapper.selectPage  : <==        Row: 61a9ecee1dcef546e479a9bb, 竹林笔墨, 快速入门SpringBoot, java,集合,c++,高数, 1, JAVA, 2017-12-04 22:09:17, 2017-12-04 22:09:17, 哈哈哈, 2
2021-12-16 22:18:33.628 TRACE 13908 --- [XNIO-1 task-1] c.cdt.blog.dao.ArticleMapper.selectPage  : <==        Row: 61b014e61dced748c0426b09, 竹林笔墨, 测试数据0, java,集合, 1, 设计模式, 2022-12-15 22:09:17, 2022-12-04 22:09:17, 哈哈哈, 1
2021-12-16 22:18:33.629 DEBUG 13908 --- [XNIO-1 task-1] c.cdt.blog.dao.ArticleMapper.selectPage  : <==      Total: 5
2021-12-16 22:18:33.834 DEBUG 13908 --- [XNIO-1 task-1] c.cdt.blog.dao.ArticleMapper.selectList  : ==>  Preparing: SELECT tags FROM articles 
2021-12-16 22:18:33.835 DEBUG 13908 --- [XNIO-1 task-1] c.cdt.blog.dao.ArticleMapper.selectList  : ==> Parameters: 
2021-12-16 22:18:33.838 TRACE 13908 --- [XNIO-1 task-1] c.cdt.blog.dao.ArticleMapper.selectList  : <==    Columns: tags
2021-12-16 22:18:33.839 TRACE 13908 --- [XNIO-1 task-1] c.cdt.blog.dao.ArticleMapper.selectList  : <==        Row: 集合,c++,java,高数
2021-12-16 22:18:33.840 TRACE 13908 --- [XNIO-1 task-1] c.cdt.blog.dao.ArticleMapper.selectList  : <==        Row: java,集合
2021-12-16 22:18:33.841 TRACE 13908 --- [XNIO-1 task-1] c.cdt.blog.dao.ArticleMapper.selectList  : <==        Row: java,集合,c++
2021-12-16 22:18:33.842 TRACE 13908 --- [XNIO-1 task-1] c.cdt.blog.dao.ArticleMapper.selectList  : <==        Row: java,集合,c++,高数
2021-12-16 22:18:33.844 TRACE 13908 --- [XNIO-1 task-1] c.cdt.blog.dao.ArticleMapper.selectList  : <==        Row: java,集合
2021-12-16 22:18:33.846 TRACE 13908 --- [XNIO-1 task-1] c.cdt.blog.dao.ArticleMapper.selectList  : <==        Row: java,集合
2021-12-16 22:18:33.847 TRACE 13908 --- [XNIO-1 task-1] c.cdt.blog.dao.ArticleMapper.selectList  : <==        Row: java,集合
2021-12-16 22:18:33.849 TRACE 13908 --- [XNIO-1 task-1] c.cdt.blog.dao.ArticleMapper.selectList  : <==        Row: java,集合
2021-12-16 22:18:33.853 TRACE 13908 --- [XNIO-1 task-1] c.cdt.blog.dao.ArticleMapper.selectList  : <==        Row: java,集合
2021-12-16 22:18:33.854 TRACE 13908 --- [XNIO-1 task-1] c.cdt.blog.dao.ArticleMapper.selectList  : <==        Row: java,集合
2021-12-16 22:18:33.855 TRACE 13908 --- [XNIO-1 task-1] c.cdt.blog.dao.ArticleMapper.selectList  : <==        Row: java,集合
2021-12-16 22:18:33.856 DEBUG 13908 --- [XNIO-1 task-2] c.cdt.blog.dao.ArticleMapper.selectMaps  : ==>  Preparing: SELECT category as 'name',count(1) as 'count' FROM articles GROUP BY category 
2021-12-16 22:18:33.857 TRACE 13908 --- [XNIO-1 task-1] c.cdt.blog.dao.ArticleMapper.selectList  : <==        Row: java,集合
2021-12-16 22:18:33.857 TRACE 13908 --- [XNIO-1 task-1] c.cdt.blog.dao.ArticleMapper.selectList  : <==        Row: java,集合
2021-12-16 22:18:33.858 TRACE 13908 --- [XNIO-1 task-1] c.cdt.blog.dao.ArticleMapper.selectList  : <==        Row: java,集合
2021-12-16 22:18:33.858 TRACE 13908 --- [XNIO-1 task-1] c.cdt.blog.dao.ArticleMapper.selectList  : <==        Row: java,集合
2021-12-16 22:18:33.859 TRACE 13908 --- [XNIO-1 task-1] c.cdt.blog.dao.ArticleMapper.selectList  : <==        Row: java,集合
2021-12-16 22:18:33.861 TRACE 13908 --- [XNIO-1 task-1] c.cdt.blog.dao.ArticleMapper.selectList  : <==        Row: java,集合
2021-12-16 22:18:33.864 TRACE 13908 --- [XNIO-1 task-1] c.cdt.blog.dao.ArticleMapper.selectList  : <==        Row: java,集合
2021-12-16 22:18:33.866 TRACE 13908 --- [XNIO-1 task-1] c.cdt.blog.dao.ArticleMapper.selectList  : <==        Row: java,集合
2021-12-16 22:18:33.867 TRACE 13908 --- [XNIO-1 task-1] c.cdt.blog.dao.ArticleMapper.selectList  : <==        Row: java,集合
2021-12-16 22:18:33.857 DEBUG 13908 --- [XNIO-1 task-2] c.cdt.blog.dao.ArticleMapper.selectMaps  : ==> Parameters: 
2021-12-16 22:18:33.868 TRACE 13908 --- [XNIO-1 task-1] c.cdt.blog.dao.ArticleMapper.selectList  : <==        Row: 集合,c++,java,高数
2021-12-16 22:18:33.881 TRACE 13908 --- [XNIO-1 task-1] c.cdt.blog.dao.ArticleMapper.selectList  : <==        Row: java,集合
2021-12-16 22:18:33.882 TRACE 13908 --- [XNIO-1 task-1] c.cdt.blog.dao.ArticleMapper.selectList  : <==        Row: java,集合
2021-12-16 22:18:33.883 TRACE 13908 --- [XNIO-1 task-2] c.cdt.blog.dao.ArticleMapper.selectMaps  : <==    Columns: name, count
2021-12-16 22:18:33.883 TRACE 13908 --- [XNIO-1 task-2] c.cdt.blog.dao.ArticleMapper.selectMaps  : <==        Row: JAVA, 2
2021-12-16 22:18:33.884 TRACE 13908 --- [XNIO-1 task-2] c.cdt.blog.dao.ArticleMapper.selectMaps  : <==        Row: MYSQL, 2
2021-12-16 22:18:33.884 TRACE 13908 --- [XNIO-1 task-2] c.cdt.blog.dao.ArticleMapper.selectMaps  : <==        Row: 设计模式, 20
2021-12-16 22:18:33.885 DEBUG 13908 --- [XNIO-1 task-2] c.cdt.blog.dao.ArticleMapper.selectMaps  : <==      Total: 3
2021-12-16 22:18:33.883 TRACE 13908 --- [XNIO-1 task-1] c.cdt.blog.dao.ArticleMapper.selectList  : <==        Row: java,集合
2021-12-16 22:18:33.885 DEBUG 13908 --- [XNIO-1 task-1] c.cdt.blog.dao.ArticleMapper.selectList  : <==      Total: 24
2021-12-16 22:18:33.889  INFO 13908 --- [XNIO-1 task-1] c.cdt.blog.service.impl.TagServiceImpl   : tags: [集合, c++, java, 高数]
2021-12-16 22:18:33.908 DEBUG 13908 --- [XNIO-1 task-3] c.cdt.blog.dao.ArticleMapper.selectMaps  : ==>  Preparing: SELECT id,title,gmt_create FROM articles ORDER BY gmt_create DESC 
2021-12-16 22:18:33.909 DEBUG 13908 --- [XNIO-1 task-3] c.cdt.blog.dao.ArticleMapper.selectMaps  : ==> Parameters: 
